file_base,file1,file2,text1_length,text2_length,similarity,text1_preview,text2_preview
sub063,sub063.csv,sub063_编码结果.csv,6,8,0.93583393,过分关注他人,过度关注他人表现
sub052,sub052.csv,sub052_编码结果.csv,18,20,0.93362087,家庭期望 对自身能力不自信 优绩主义,家庭期望压力 自我能力怀疑 优绩主义内化
sub040,sub040.csv,sub040_编码结果.csv,20,31,0.9328358,自我高期望 同辈比较 学业压力 情绪困扰,自我期望过高 同辈学业比较 学业任务压力 休息伴随负面情绪体验
sub138,sub138.csv,sub138_编码结果.csv,24,25,0.9324176,社会竞争 效率至上的价值观 个人价值与生产力绑定,社会比较压力 效率至上价值观 自我价值与生产力绑定
sub159,sub159.csv,sub159_编码结果.csv,23,33,0.9243344,社会功利文化 自我价值偏差 同辈竞争 错失恐惧,社会功利文化压力 同辈竞争压力 自我价值绑定于生产力 错失恐惧驱动
sub012,sub012.csv,sub012_编码结果.csv,26,41,0.9231981,优绩主义 完美主义 社会期待 休息技能缺失 心理问题,优绩主义内化 完美主义倾向 社会期待压力 长期行为驯化 休息技能缺失 心理健康困扰
sub031,sub031.csv,sub031_编码结果.csv,15,27,0.9181057,自控力不足 同辈压力 未来焦虑,自控力与行动力的冲突 同辈压力 未来不确定性引发的焦虑
sub072,sub072.csv,sub072_编码结果.csv,4,6,0.9084615,内卷氛围,社会内卷氛围
sub075,sub075.csv,sub075_编码结果.csv,17,23,0.89649963,缺少规划感 过分关注他人 性格敏感,过度关注他人状态 自我敏感性过高 未来目标模糊
sub098,sub098.csv,sub098_编码结果.csv,17,26,0.8919313,内卷氛围 就业压力 缺少规划 焦虑,社会内卷氛围 就业压力 时间管理失当 广泛性焦虑倾向
