编码1,编码2,相似度
同辈竞争压力,自我要求过高,0.6689
同辈竞争压力,优绩主义内化,0.6378
同辈竞争压力,竞争性环境压力,0.8672
同辈竞争压力,自我价值与生产力绑定,0.6336
同辈竞争压力,社会内卷压力,0.7954
同辈竞争压力,社会内卷氛围,0.7434
同辈竞争压力,内卷文化压力,0.7273
同辈竞争压力,对落后的恐惧,0.7915
同辈竞争压力,自我归因为懒惰,0.6488
同辈竞争压力,自我能力怀疑,0.6512
同辈竞争压力,同辈压力,0.9111
同辈竞争压力,未来不确定性引发的焦虑,0.6917
同辈竞争压力,拖延引发的休息负罪感,0.6955
同辈竞争压力,同辈学业比较,0.8534
同辈竞争压力,资源稀缺引发的竞争压力,0.8063
同辈竞争压力,恐惧落后于他人,0.7463
同辈竞争压力,社会竞争氛围加剧,0.7899
同辈竞争压力,同辈努力压力,0.9116
同辈竞争压力,努力至上价值观的内化,0.6394
同辈竞争压力,未完成任务引发的焦虑,0.7285
同辈竞争压力,虚拟空间中的持续绩效监控,0.5559
同辈竞争压力,同辈学业表现的可见性压力,0.8686
同辈竞争压力,竞争性社会氛围,0.8200
同辈竞争压力,休息与懒惰的道德绑定,0.5885
同辈竞争压力,对他人努力的想象性监控,0.7554
同辈竞争压力,家庭价值导向强调产出,0.4933
同辈竞争压力,高强度学业竞争环境,0.8416
同辈竞争压力,成绩导向的时间紧迫感,0.7619
同辈竞争压力,外部成就期待压力,0.7502
同辈竞争压力,对失控后果的担忧,0.7297
同辈竞争压力,习惯性忙碌内化,0.7145
同辈竞争压力,高自我要求倾向,0.6687
同辈竞争压力,学历身份压力,0.7184
同辈竞争压力,内卷环境感知,0.6720
同辈竞争压力,社会对持续奋斗的推崇,0.7003
同辈竞争压力,优绩主义文化内化,0.6372
同辈竞争压力,社会对勤奋的推崇,0.5998
同辈竞争压力,学术评价体系的压力,0.7269
同辈竞争压力,同辈竞争带来的自我约束,0.8944
同辈竞争压力,家庭对成就的高期待,0.5953
同辈竞争压力,内在成就动机过强,0.7109
同辈竞争压力,高强度工作任务压力,0.7707
同辈竞争压力,社会规训内化,0.7130
同辈竞争压力,休息被建构为退出竞争的象征,0.6699
同辈竞争压力,时间利用的道德化认知,0.4878
同辈竞争压力,休息与时间损失的灾难化联想,0.6429
同辈竞争压力,任务拖延引发的负罪感,0.5811
同辈竞争压力,同辈横向比较压力,0.8831
同辈竞争压力,自我能力不足感,0.6553
同辈竞争压力,自我提升紧迫感,0.7341
同辈竞争压力,时间浪费恐惧,0.6431
同辈竞争压力,完美主义倾向,0.7263
同辈竞争压力,社会期待压力,0.8286
同辈竞争压力,长期行为驯化,0.6438
同辈竞争压力,休息技能缺失,0.6750
同辈竞争压力,心理健康困扰,0.6928
同辈竞争压力,就业压力驱动的自我要求,0.7686
同辈竞争压力,同辈努力氛围引发的自我对照,0.8273
同辈竞争压力,工作积压压力,0.7323
同辈竞争压力,社会竞争加剧,0.8155
同辈竞争压力,努力回报信念,0.5626
同辈竞争压力,好孩子规训内化,0.4783
同辈竞争压力,外部认同依赖,0.7185
同辈竞争压力,决策冲突倾向,0.7084
同辈竞争压力,反刍性自我审视,0.5761
同辈竞争压力,同伴比较压力,0.8613
同辈竞争压力,早期教育塑造的休息观念,0.6749
同辈竞争压力,高强度学业压力下的自我要求,0.7906
同辈竞争压力,家庭环境对休息态度的塑造,0.6881
同辈竞争压力,碎片化工作模式内化,0.6634
同辈竞争压力,同辈产出压力,0.8739
同辈竞争压力,竞争性成长环境,0.7976
同辈竞争压力,未来成就压力,0.7528
