file_base,file1,file2,text1_length,text2_length,similarity,text1_preview,text2_preview
sub045,sub045.csv,sub045_编码结果.csv,4,11,0.40337783,社会内卷,资源稀缺引发的竞争压力
sub076,sub076.csv,sub076_编码结果.csv,20,6,0.44663432,社会文化 休息等同于懒惰 休息时的负罪感,奋斗文化内化
sub087,sub087.csv,sub087_编码结果.csv,12,13,0.46040368,社会压力 学校和家庭压力,多源压力驱动的应然自我期待
sub051,sub051.csv,sub051_编码结果.csv,4,18,0.46040505,社会规训,努力至上文化规范 心理健康价值被忽视
sub077,sub077.csv,sub077_编码结果.csv,4,10,0.4724967,社会文化,奋斗价值观的文化传承
sub004,sub004.csv,sub004_编码结果.csv,4,10,0.47745427,物质需求,社会对持续奋斗的推崇
sub005,sub005.csv,sub005_编码结果.csv,14,8,0.48993248,社会环境 教育观念 同辈比较,优绩主义文化内化
sub021,sub021.csv,sub021_编码结果.csv,21,30,0.5178802,落后恐惧 害怕浪费时间 教育影响 同辈比较,竞争性社会氛围 休息与懒惰的道德绑定 对他人努力的想象性监控
sub147,sub147.csv,sub147_编码结果.csv,2,12,0.52319646,拖延,自我行为不一致引发的内疚
sub048,sub048.csv,sub048_编码结果.csv,9,15,0.5345762,落后恐惧 内卷氛围,竞争性环境压力 长期高压习惯化
